Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,1831.110107421875,2167.60009765625,2183.89990234375,2154.0,2168.0,1354908
2020-01-02,1822.7044677734375,2157.64990234375,2179.949951171875,2149.199951171875,2179.949951171875,2380752
2020-01-03,1859.0289306640625,2200.64990234375,2223.0,2164.0,2164.0,4655761
2020-01-06,1858.85986328125,2200.449951171875,2225.949951171875,2187.89990234375,2205.0,3023209
2020-01-07,1863.42236328125,2205.85009765625,2214.64990234375,2183.800048828125,2200.5,2429317
2020-01-08,1905.1533203125,2255.25,2260.0,2202.050048828125,2205.0,5197454
2020-01-09,1870.6024169921875,2214.35009765625,2251.949951171875,2210.0,2248.75,3734173
2020-01-10,1869.9267578125,2213.550048828125,2234.0,2208.0,2228.0,1915807
2020-01-13,1850.328369140625,2190.35009765625,2218.949951171875,2184.699951171875,2217.85009765625,2843893
2020-01-14,1864.3087158203125,2206.89990234375,2229.800048828125,2195.0,2195.0,2948452
2020-01-15,1881.2039794921875,2226.89990234375,2231.0,2194.199951171875,2213.0,2620681
2020-01-16,1891.257080078125,2238.800048828125,2249.0,2215.0,2226.949951171875,3117214
2020-01-17,1874.6153564453125,2219.10009765625,2253.550048828125,2213.0,2240.75,3281059
2020-01-20,1833.4329833984375,2170.35009765625,2242.199951171875,2156.199951171875,2194.89990234375,5817599
2020-01-21,1834.02392578125,2171.050048828125,2186.550048828125,2158.050048828125,2169.949951171875,1902980
2020-01-22,1864.3087158203125,2206.89990234375,2210.0,2173.699951171875,2181.0,1773686
2020-01-23,1855.037353515625,2190.949951171875,2217.75,2183.699951171875,2209.800048828125,2069866
2020-01-24,1848.6451416015625,2183.39990234375,2190.949951171875,2170.0,2190.949951171875,1319430
2020-01-27,1836.6649169921875,2169.25,2193.449951171875,2165.0,2189.699951171875,1549101
2020-01-28,1848.94140625,2183.75,2187.800048828125,2152.0,2174.0,1743024
2020-01-29,1824.2608642578125,2154.60009765625,2186.949951171875,2150.0,2185.0,2306761
2020-01-30,1810.078857421875,2137.85009765625,2165.0,2125.0,2160.0,2098567
2020-01-31,1760.2943115234375,2079.050048828125,2144.35009765625,2071.60009765625,2139.39990234375,3287223
2020-02-03,1780.1485595703125,2102.5,2194.699951171875,2093.199951171875,2152.0,4728073
2020-02-04,1784.5938720703125,2107.75,2136.699951171875,2086.60009765625,2129.0,3509339
2020-02-05,1817.4454345703125,2146.550048828125,2156.699951171875,2104.300048828125,2115.0,2439322
2020-02-06,1802.0355224609375,2128.35009765625,2174.199951171875,2115.5,2145.0,2640065
2020-02-07,1808.978271484375,2136.550048828125,2151.0,2119.0,2139.0,2083442
2020-02-10,1830.48388671875,2161.949951171875,2167.0,2119.0,2140.89990234375,2383032
2020-02-11,1823.244873046875,2153.39990234375,2174.800048828125,2147.60009765625,2163.0,1335820
2020-02-12,1837.93505859375,2170.75,2185.0,2150.0,2151.10009765625,1620407
2020-02-13,1855.8846435546875,2191.949951171875,2197.0,2171.0,2172.949951171875,1645948
2020-02-14,1849.322509765625,2184.199951171875,2212.0,2171.0,2188.0,1500115
2020-02-17,1865.4521484375,2203.25,2217.0,2190.199951171875,2196.949951171875,1774724
2020-02-18,1876.0352783203125,2215.75,2221.0,2186.050048828125,2199.949951171875,2486223
